parameter,unit,low,base,high,rationale,status
berm_shielding_construction_dozer_unit_mass,t/unit,8.5,10.0,12.0,N+1 shielding construction,engineering assumption
berm_shielding_construction_dozer_quantity,units,2.0,2.0,2.0,N+1 shielding construction,architecture choice
eva_suit_package_unit_mass,t/unit,0.297,0.35,0.42,4 operational + 2 spares,engineering assumption
eva_suit_package_quantity,units,6.0,6.0,6.0,4 operational + 2 spares,architecture choice
suit_maintenance_charging_bench_unit_mass,t/unit,1.275,1.5,1.8,N+1 service benches,engineering assumption
suit_maintenance_charging_bench_quantity,units,2.0,2.0,2.0,N+1 service benches,architecture choice
workshop_and_additive_repair_cell_unit_mass,t/unit,4.25,5.0,6.0,N+1 repair paths,engineering assumption
workshop_and_additive_repair_cell_quantity,units,2.0,2.0,2.0,N+1 repair paths,architecture choice
science_medical_laboratory_module_unit_mass,t/unit,8.5,10.0,12.0,Includes isolation berth and diagnostics,engineering assumption
science_medical_laboratory_module_quantity,units,1.0,1.0,1.0,Includes isolation berth and diagnostics,architecture choice
medical_equipment_cache_unit_mass,t/unit,1.275,1.5,1.8,Split caches prevent single loss,engineering assumption
medical_equipment_cache_quantity,units,2.0,2.0,2.0,Split caches prevent single loss,architecture choice
fire_suppression_rescue_cache_unit_mass,t/unit,2.125,2.5,3.0,Split emergency caches,engineering assumption
fire_suppression_rescue_cache_quantity,units,2.0,2.0,2.0,Split emergency caches,architecture choice
landing_zone_and_cable_kit_unit_mass,t/unit,4.25,5.0,6.0,Two separated utility corridors,engineering assumption
landing_zone_and_cable_kit_quantity,units,2.0,2.0,2.0,Two separated utility corridors,architecture choice
partial_isru_commission_day,day,45.0,60.0,90.0,Credit starts only after demonstrated production,engineering assumption
partial_isru_replacement,fraction,0.35,0.5,0.65,Water/oxygen makeup replaced after commissioning,engineering assumption
mature_isru_commission_day,day,20.0,30.0,45.0,Optimistic established commissioning performance,engineering assumption
mature_isru_replacement,fraction,0.7,0.8,0.9,Optimistic water/oxygen replacement,engineering assumption
hardware_mass_factor,fraction,0.88,1.0,1.18,Correlated maturity/growth uncertainty across equipment,engineering assumption
